record_id,clean_std,snr_target_db,snr_input_db,snr_output_db,nrmse_std
100,127.676380,20,20.000000,29.499045,0.033500
100,127.676380,10,10.000000,25.870253,0.050873
100,127.676380,5,5.000000,24.231754,0.061434
100,127.676380,0,0.000000,22.559303,0.074479
101,114.320216,20,20.000000,28.476029,0.037688
101,114.320216,10,10.000000,26.873468,0.045324
101,114.320216,5,5.000000,24.441435,0.059969
101,114.320216,0,0.000000,24.136259,0.062114
103,150.212423,20,20.000000,24.633204,0.058660
103,150.212423,10,10.000000,21.081404,0.088294
103,150.212423,5,5.000000,18.775472,0.115140
103,150.212423,0,0.000000,17.080282,0.139954
105,62.953351,20,20.000000,14.377768,0.191034
105,62.953351,10,10.000000,9.856968,0.321478
105,62.953351,5,5.000000,8.345201,0.382596
105,62.953351,0,0.000000,6.566217,0.469558
109,57.191338,20,20.000000,14.280125,0.193194
109,57.191338,10,10.000000,10.955263,0.283294
109,57.191338,5,5.000000,8.249090,0.386853
109,57.191338,0,0.000000,5.770381,0.514613
200,153.376091,20,20.000000,25.026956,0.056060
200,153.376091,10,10.000000,20.205809,0.097658
200,153.376091,5,5.000000,18.105217,0.124377
200,153.376091,0,0.000000,15.878555,0.160721
201,124.701163,20,20.000000,28.794271,0.036332
201,124.701163,10,10.000000,23.656819,0.065639
201,124.701163,5,5.000000,22.004722,0.079390
201,124.701163,0,0.000000,19.898859,0.101171
203,37.240258,20,20.000000,21.287397,0.086224
203,37.240258,10,10.000000,16.531646,0.149079
203,37.240258,5,5.000000,15.997733,0.158531
203,37.240258,0,0.000000,13.799672,0.204182
207,106.986831,20,20.000000,23.510871,0.066751
207,106.986831,10,10.000000,22.927988,0.071384
207,106.986831,5,5.000000,19.204052,0.109597
207,106.986831,0,0.000000,17.650110,0.131067
208,134.690183,20,20.000000,26.485166,0.047396
208,134.690183,10,10.000000,22.093683,0.078581
208,134.690183,5,5.000000,20.670816,0.092568
208,134.690183,0,0.000000,19.041171,0.111671
